,ds,y,date,time
288,2022-06-13 00:00,341.56,2022-06-13,00:00:00
289,2022-06-13 01:00,311.8,2022-06-13,01:00:00
290,2022-06-13 02:00,215.0,2022-06-13,02:00:00
291,2022-06-13 03:00,218.65,2022-06-13,03:00:00
292,2022-06-13 04:00,212.03,2022-06-13,04:00:00
293,2022-06-13 05:00,214.12,2022-06-13,05:00:00
294,2022-06-13 06:00,220.86,2022-06-13,06:00:00
295,2022-06-13 07:00,1048.43,2022-06-13,07:00:00
296,2022-06-13 08:00,1203.72,2022-06-13,08:00:00
297,2022-06-13 09:00,1415.66,2022-06-13,09:00:00
298,2022-06-13 10:00,1452.82,2022-06-13,10:00:00
299,2022-06-13 11:00,1471.53,2022-06-13,11:00:00
300,2022-06-13 12:00,1508.11,2022-06-13,12:00:00
301,2022-06-13 13:00,1497.21,2022-06-13,13:00:00
302,2022-06-13 14:00,1532.64,2022-06-13,14:00:00
303,2022-06-13 15:00,1540.75,2022-06-13,15:00:00
304,2022-06-13 16:00,1556.56,2022-06-13,16:00:00
305,2022-06-13 17:00,1491.14,2022-06-13,17:00:00
306,2022-06-13 18:00,1401.14,2022-06-13,18:00:00
307,2022-06-13 19:00,1135.49,2022-06-13,19:00:00
308,2022-06-13 20:00,1053.91,2022-06-13,20:00:00
309,2022-06-13 21:00,993.25,2022-06-13,21:00:00
310,2022-06-13 22:00,943.91,2022-06-13,22:00:00
311,2022-06-13 23:00,518.27,2022-06-13,23:00:00
312,2022-06-14 00:00,500.7,2022-06-14,00:00:00
313,2022-06-14 01:00,314.08,2022-06-14,01:00:00
314,2022-06-14 02:00,226.44,2022-06-14,02:00:00
315,2022-06-14 03:00,228.25,2022-06-14,03:00:00
316,2022-06-14 04:00,215.19,2022-06-14,04:00:00
317,2022-06-14 05:00,212.18,2022-06-14,05:00:00
318,2022-06-14 06:00,309.89,2022-06-14,06:00:00
319,2022-06-14 07:00,1042.64,2022-06-14,07:00:00
320,2022-06-14 08:00,1120.03,2022-06-14,08:00:00
321,2022-06-14 09:00,1521.8,2022-06-14,09:00:00
322,2022-06-14 10:00,1569.21,2022-06-14,10:00:00
323,2022-06-14 11:00,1602.92,2022-06-14,11:00:00
324,2022-06-14 12:00,1608.05,2022-06-14,12:00:00
325,2022-06-14 13:00,1624.93,2022-06-14,13:00:00
326,2022-06-14 14:00,1657.07,2022-06-14,14:00:00
327,2022-06-14 15:00,1685.59,2022-06-14,15:00:00
328,2022-06-14 16:00,1673.37,2022-06-14,16:00:00
329,2022-06-14 17:00,1517.63,2022-06-14,17:00:00
330,2022-06-14 18:00,1416.83,2022-06-14,18:00:00
331,2022-06-14 19:00,1403.79,2022-06-14,19:00:00
